volatile acidity,alcohol,quality
1.005,10.0,5.0
0.53,10.0,6.0
0.685,11.2,7.0
0.56,9.4,5.0
0.37,13.0,7.0
0.35,9.5,5.0
0.84,12.3,7.0
0.56,11.5,6.0
0.32,12.6,8.0
0.35,10.6,7.0
0.4,9.3,6.0
0.4,10.5,7.0
0.58,11.5,4.0
0.42,11.3,6.0
0.76,11.5,6.0
0.3,10.8,7.0
0.48,12.2,7.0
0.735,10.1,6.0
0.5,9.4,5.0
0.33,11.2,7.0
0.685,10.9,4.0
0.67,9.4,5.0
0.45,10.2,6.0
0.66,11.5,7.0
0.46,9.5,6.0
0.57,9.3,5.0
0.58,10.0,6.0
0.27,11.8,6.0
0.5,12.3,6.0
0.44,11.1,7.0
0.34,14.0,6.0
0.54,11.0,5.0
0.26,10.9,6.0
0.5,13.0,5.0
0.35,10.5,5.0
0.36,12.5,6.0
0.25,10.6,6.0
0.49,10.5,5.0
0.38,9.4,5.0
0.28,12.4,7.0
0.42,9.0,5.0
0.6,11.4,5.0
0.4,11.7,7.0
0.59,10.7,6.0
0.38,10.9,6.0
0.43,10.5,5.0
0.5,10.0,5.0
0.975,9.4,4.0
1.33,10.9,5.0
0.635,10.8,7.0
0.59,11.5,7.0
0.5,10.9,6.0
0.41,13.3,7.0
0.33,10.3,6.0
0.45,9.7,5.0
0.66,11.5,7.0
0.8,9.9,5.0
0.6,10.8,5.0
0.87,9.8,5.0
0.64,9.8,5.0
0.73,9.3,5.0
0.63,10.4,4.0
0.665,9.3,5.0
0.6,12.9,6.0
0.31,9.7,6.0
0.715,9.4,5.0
0.38,9.7,7.0
0.39,9.4,5.0
0.39,9.8,5.0
0.68,9.3,5.0
0.27,12.8,6.0
0.45,10.5,5.0
0.46,10.0,6.0
0.65,10.4,6.0
0.27,12.5,6.0
0.43,9.4,5.0
0.3,11.7,8.0
0.63,9.0,6.0
0.49,9.8,5.0
0.61,9.5,5.0
0.61,9.8,5.0
0.47,9.8,5.0
0.51,11.8,7.0
0.565,9.5,5.0
1.02,10.1,6.0
0.18,11.8,7.0
0.29,9.5,5.0
0.89,10.2,5.0
0.52,9.5,7.0
0.625,9.1,4.0
0.67,9.6,5.0
0.55,9.7,5.0
0.63,9.0,6.0
0.61,9.3,5.0
0.53,9.4,6.0
0.37,10.4,6.0
0.43,10.4,5.0
0.5,10.5,5.0
0.44,9.2,5.0
0.645,11.1,5.0
0.22,10.3,6.0
0.6,9.5,5.0
0.54,9.3,6.0
0.39,9.4,5.0
0.26,9.4,6.0
0.46,12.2,6.0
0.52,9.4,5.0
0.36,12.5,6.0
0.96,10.9,5.0
0.38,12.6,7.0
0.52,10.0,5.0
0.415,10.0,6.0
0.6,9.4,5.0
0.87,9.8,4.0
0.36,13.6,7.0
1.13,9.8,4.0
0.45,9.7,5.0
0.91,9.2,5.0
0.39,11.6,6.0
0.27,11.2,6.0
0.44,13.4,6.0
0.18,10.1,6.0
0.745,9.6,5.0
0.4,9.4,5.0
0.55,9.7,5.0
0.575,9.2,5.0
0.59,9.7,5.0
0.46,9.2,5.0
0.55,10.9,6.0
0.755,10.2,6.0
0.22,9.4,6.0
0.43,10.4,7.0
0.58,9.8,6.0
0.66,9.2,5.0
0.53,10.0,6.0
0.6,10.5,6.0
0.46,9.8,5.0
0.78,10.0,5.0
0.41,9.9,7.0
0.66,9.4,5.0
0.85,12.9,8.0
0.59,10.8,7.0
0.5,9.6,5.0
0.47,12.8,6.0
0.53,9.3,6.0
0.18,10.1,6.0
0.725,10.0,6.0
0.42,9.2,6.0
0.56,9.9,5.0
1.04,11.5,5.0
0.6,10.1,5.0
0.39,11.4,6.0
0.41,9.9,7.0
0.51,10.5,5.0
0.45,10.5,5.0
0.34,11.3,6.0
0.645,11.1,5.0
0.51,9.5,6.0
0.53,12.4,6.0
0.57,10.7,6.0
0.62,9.4,5.0
0.64,9.1,6.0
0.36,11.1,7.0
0.38,11.4,6.0
0.625,13.3,6.0
0.55,9.0,4.0
0.29,11.7,7.0
0.615,9.2,5.0
0.615,9.9,5.0
0.39,9.8,5.0
0.32,10.7,5.0
0.52,9.5,5.0
0.26,9.4,6.0
0.28,10.6,6.0
0.41,9.4,5.0
0.65,9.2,5.0
0.48,12.1,7.0
0.43,9.5,6.0
0.32,10.1,5.0
0.48,9.1,6.0
0.49,10.5,6.0
0.44,9.4,5.0
0.58,9.7,5.0
0.37,9.3,5.0
0.28,11.7,7.0
1.185,10.7,3.0
0.655,9.3,5.0
0.59,9.8,5.0
0.4,10.5,6.0
0.67,9.5,5.0
0.61,9.5,5.0
0.24,9.2,5.0
0.69,11.6,6.0
0.54,10.0,6.0
0.36,10.1,6.0
0.41,10.5,5.0
0.4,9.2,5.0
0.67,9.2,4.0
0.58,9.4,6.0
0.42,9.1,5.0
0.2,10.4,6.0
0.46,9.6,4.0
0.785,10.0,5.0
0.52,10.6,7.0
0.43,9.5,5.0
0.43,10.5,5.0
0.43,10.3,5.0
0.52,9.0,6.0
0.935,9.2,5.0
0.62,9.7,5.0
0.26,11.8,5.0
0.62,9.3,5.0
0.52,10.5,6.0
0.34,12.4,6.0
0.96,10.9,5.0
0.49,9.2,6.0
0.67,9.9,6.0
0.48,11.2,5.0
0.56,9.3,5.0
0.715,11.0,5.0
0.5,9.6,6.0
0.49,12.0,6.0
0.685,9.9,5.0
0.69,9.4,5.0
0.47,9.4,5.0
0.58,9.5,5.0
0.37,9.1,6.0
0.885,9.1,4.0
0.66,9.3,5.0
0.5,9.8,6.0
0.4,13.6,6.0
0.3,11.8,6.0
0.75,10.1,5.0
0.28,11.7,7.0
0.815,12.3,7.0
0.735,9.9,5.0
0.38,10.0,7.0
0.63,9.7,6.0
0.69,9.2,6.0
0.57,9.4,6.0
0.42,12.3,7.0
0.52,11.0,5.0
0.48,11.2,6.0
0.39,9.7,5.0
1.01,11.5,6.0
0.965,9.5,5.0
0.32,10.0,6.0
0.21,9.2,7.0
0.51,9.5,6.0
0.645,9.6,6.0
0.49,11.3,6.0
0.67,9.5,6.0
0.47,12.3,6.0
0.45,9.3,6.0
0.785,9.3,5.0
0.42,10.8,6.0
0.58,9.1,6.0
0.49,9.2,5.0
0.42,9.2,6.0
0.63,9.0,6.0
0.42,10.4,5.0
0.61,11.1,6.0
0.32,11.8,7.0
0.61,9.7,5.0
0.4,12.2,6.0
0.43,10.5,5.0
0.5,10.9,5.0
0.62,9.4,5.0
0.59,10.3,5.0
0.52,9.6,5.0
0.6,9.1,5.0
0.6,9.2,6.0
0.31,12.5,7.0
0.48,10.3,5.0
0.805,9.6,5.0
0.5,10.8,6.0
0.725,9.3,5.0
0.61,10.2,6.0
0.36,11.9,6.0
0.685,9.4,5.0
0.65,11.7,7.0
0.4,9.5,6.0
0.34,9.4,6.0
0.415,10.0,6.0
0.19,11.2,6.0
0.29,9.5,6.0
0.82,9.6,5.0
0.76,11.5,6.0
0.38,11.4,6.0
0.52,12.9,6.0
0.66,9.9,6.0
0.21,11.7,6.0
0.56,9.6,5.0
0.545,11.6,6.0
0.41,9.4,5.0
0.54,9.4,5.0
0.49,9.4,5.0
0.865,12.7,6.0
0.36,10.5,6.0
0.52,9.4,6.0
0.835,9.3,5.0
0.21,11.9,6.0
0.43,11.3,6.0
0.43,9.5,5.0
0.41,10.8,6.0
0.35,12.0,7.0
0.49,9.7,5.0
0.51,9.6,6.0
0.4,9.3,6.0
1.115,11.2,4.0
0.45,10.4,5.0
0.3,10.8,7.0
0.4,10.5,5.0
0.34,11.1,5.0
0.6,11.9,6.0
0.54,11.8,7.0
0.31,9.7,5.0
0.69,9.1,5.0
0.33,9.4,5.0
0.26,10.8,6.0
0.38,9.6,4.0
0.69,12.9,6.0
0.4,11.3,6.0
0.5,13.0,5.0
0.62,11.5,6.0
0.52,9.3,5.0
0.54,9.4,5.0
0.44,9.4,5.0
0.71,10.0,6.0
0.31,11.2,7.0
0.775,10.7,5.0
0.46,9.8,5.0
0.84,9.7,5.0
0.69,11.6,6.0
0.32,9.6,5.0
0.62,9.0,5.0
0.69,11.3,6.0
0.92,9.8,5.0
0.41,10.8,5.0
0.7,9.4,5.0
0.53,11.7,6.0
0.78,11.3,5.0
0.37,9.5,5.0
0.27,9.7,5.0
0.49,10.9,6.0
0.365,11.0,5.0
0.63,9.3,5.0
0.43,10.0,7.0
0.57,9.5,5.0
0.64,9.8,5.0
0.645,10.0,6.0
0.43,9.5,5.0
0.44,11.5,5.0
0.545,9.0,6.0
0.3,11.8,6.0
0.54,9.4,5.0
0.68,10.2,5.0
0.57,10.1,5.0
0.49,10.5,5.0
0.745,9.6,5.0
0.68,9.5,5.0
0.33,12.4,7.0
0.33,12.4,7.0
0.36,12.8,7.0
0.45,10.2,6.0
0.21,10.4,5.0
0.27,11.0,7.0
0.31,11.8,5.0
0.42,11.8,6.0
0.53,9.8,6.0
0.41,9.5,5.0
0.36,10.9,6.0
0.58,10.5,5.0
0.31,11.8,7.0
0.43,9.0,5.0
0.41,10.0,5.0
0.28,9.8,6.0
1.04,9.9,6.0
0.75,12.8,6.0
0.55,10.3,6.0
0.615,9.7,5.0
0.795,11.6,5.0
0.38,11.0,6.0
0.39,9.5,5.0
0.43,10.5,6.0
0.59,9.5,5.0
0.43,10.5,6.0
0.59,9.5,6.0
0.27,12.0,7.0
0.58,9.5,5.0
0.28,9.8,7.0
0.77,9.9,5.0
0.305,11.5,6.0
0.46,9.0,6.0
0.62,10.8,5.0
0.26,10.2,7.0
0.23,11.1,5.0
0.735,9.8,5.0
0.58,11.2,6.0
0.7,9.4,5.0
0.645,9.2,6.0
0.43,9.6,5.0
0.6,9.8,5.0
0.36,10.9,6.0
0.38,10.3,5.0
0.44,9.5,5.0
1.33,10.9,5.0
0.31,10.5,7.0
0.34,9.4,5.0
0.48,9.2,5.0
0.5,9.7,7.0
0.35,12.0,7.0
0.415,9.2,5.0
0.605,12.9,5.0
0.65,10.0,7.0
0.44,12.0,7.0
0.28,9.5,5.0
0.24,8.7,6.0
0.34,11.0,6.0
0.45,9.5,5.0
0.39,10.8,7.0
0.58,11.4,6.0
0.41,10.5,5.0
0.53,13.0,5.0
0.6,10.1,5.0
0.7,9.0,6.0
0.715,9.9,5.0
0.39,9.8,6.0
0.53,9.3,6.0
0.64,10.0,6.0
0.66,10.3,5.0
0.26,9.3,6.0
0.66,12.8,7.0
0.48,12.1,7.0
0.42,9.6,5.0
0.735,9.9,5.0
0.24,10.4,5.0
0.35,10.6,5.0
0.36,9.2,6.0
0.715,11.8,6.0
0.34,10.1,5.0
0.39,13.3,6.0
0.62,9.5,5.0
0.765,10.3,6.0
0.24,10.8,7.0
0.36,10.9,6.0
0.56,9.6,5.0
0.24,9.5,6.0
0.48,11.2,7.0
0.26,9.6,5.0
0.51,9.5,6.0
0.46,9.8,5.0
0.53,10.7,6.0
0.31,12.5,7.0
0.44,11.4,6.0
0.35,11.0,6.0
0.6,9.4,5.0
0.88,9.4,5.0
0.49,9.5,6.0
0.43,12.5,6.0
0.39,9.4,6.0
0.74,11.8,6.0
0.48,12.4,6.0
0.38,9.4,5.0
0.775,10.6,6.0
0.53,11.5,7.0
0.39,10.8,6.0
0.61,11.1,6.0
0.61,10.5,5.0
0.54,9.8,5.0
0.45,11.2,6.0
0.4,10.0,5.0
0.29,10.1,6.0
0.78,10.7,6.0
0.78,9.5,5.0
0.35,9.5,5.0
0.34,11.6,7.0
0.66,9.6,5.0
0.53,9.5,5.0
0.635,10.8,7.0
0.685,9.7,5.0
0.31,10.6,7.0
0.52,9.1,5.0
0.56,10.0,6.0
0.28,10.9,6.0
0.7,9.4,5.0
0.64,9.1,6.0
0.66,9.0,5.0
0.745,9.7,6.0
0.61,10.0,6.0
0.57,12.8,5.0
0.61,8.4,3.0
0.33,12.0,6.0
0.59,9.6,4.0
0.845,11.0,4.0
0.595,9.3,5.0
0.82,9.8,5.0
0.48,10.0,6.0
0.66,12.9,5.0
0.54,9.4,6.0
0.59,9.8,5.0
0.32,10.6,5.0
0.42,12.0,6.0
0.67,11.4,6.0
0.61,9.4,5.0
0.27,9.9,7.0
0.835,9.6,5.0
0.49,9.2,6.0
0.44,9.9,3.0
1.07,9.0,5.0
0.49,9.0,5.0
0.61,11.5,6.0
0.61,9.1,5.0
0.38,11.8,7.0
0.62,13.4,8.0
0.33,10.7,7.0
0.49,9.3,5.0
0.95,9.6,5.0
0.42,12.3,6.0
0.65,9.5,5.0
0.5,10.5,6.0
0.56,11.2,6.0
0.34,12.1,7.0
0.6,10.1,6.0
0.59,9.4,5.0
0.37,9.8,6.0
0.54,9.3,6.0
0.63,9.4,5.0
0.41,12.2,7.0
0.59,9.4,5.0
0.41,9.3,5.0
0.28,10.5,7.0
0.27,10.2,6.0
0.31,9.8,6.0
0.5,10.5,6.0
0.59,9.6,5.0
0.46,9.5,5.0
0.28,9.2,5.0
0.35,11.0,8.0
0.26,11.3,7.0
0.52,9.4,5.0
0.31,10.1,6.0
0.35,9.4,5.0
0.49,9.6,5.0
0.48,10.3,6.0
0.39,9.5,5.0
0.67,9.4,5.0
0.66,10.3,5.0
0.62,9.5,5.0
0.37,10.6,7.0
1.025,10.1,5.0
0.5,10.5,7.0
0.52,9.5,5.0
0.57,9.6,6.0
0.36,9.5,6.0
0.26,10.9,6.0
0.56,10.2,5.0
0.29,13.5,6.0
0.58,10.5,7.0
0.62,9.3,5.0
0.67,9.5,6.0
0.75,10.5,5.0
0.53,11.7,6.0
0.4,11.2,6.0
0.42,11.7,7.0
0.705,10.5,6.0
0.51,11.8,7.0
0.29,11.4,7.0
0.34,9.2,6.0
0.53,9.4,5.0
0.41,9.1,5.0
0.68,10.0,5.0
0.42,9.2,5.0
0.65,9.5,5.0
0.645,9.8,6.0
0.5,10.7,6.0
0.56,9.5,5.0
0.56,9.6,6.0
0.59,10.2,6.0
0.56,10.6,5.0
0.53,11.6,7.0
0.5,11.5,6.0
0.38,9.5,5.0
0.52,9.9,6.0
0.61,10.0,6.0
0.63,10.4,6.0
0.49,12.0,6.0
0.45,11.0,6.0
0.5,10.4,5.0
0.49,12.0,6.0
0.48,9.6,5.0
0.38,9.4,5.0
0.49,9.5,5.0
0.715,9.5,5.0
0.38,10.5,5.0
0.45,9.2,5.0
0.6,9.9,6.0
0.4,9.4,6.0
0.63,9.8,6.0
0.3,10.1,6.0
0.52,10.6,7.0
0.58,9.0,3.0
0.59,9.7,6.0
0.6,10.8,6.0
0.6,9.5,5.0
0.37,9.6,6.0
0.64,10.1,7.0
0.605,9.4,6.0
0.39,9.5,5.0
0.61,10.5,5.0
0.22,10.0,6.0
0.67,9.5,5.0
0.635,9.7,5.0
0.42,11.3,6.0
0.69,9.3,5.0
0.6,9.8,5.0
1.09,11.4,4.0
0.84,10.4,6.0
0.43,11.5,7.0
0.6,9.9,5.0
0.54,10.2,5.0
0.5,10.7,6.0
0.32,12.3,6.0
0.47,10.9,4.0
0.44,12.0,7.0
0.55,9.6,5.0
0.41,11.3,6.0
1.02,11.0,3.0
0.62,11.8,6.0
0.63,9.6,5.0
0.675,9.2,4.0
0.665,9.1,5.0
0.28,12.8,7.0
0.31,10.7,6.0
0.31,9.8,6.0
0.46,11.0,6.0
0.12,11.9,7.0
0.49,10.2,6.0
0.59,10.8,6.0
0.62,10.7,6.0
0.42,14.0,7.0
0.28,10.2,6.0
0.725,9.1,5.0
0.45,10.4,5.0
0.5,11.2,5.0
0.38,9.5,6.0
0.31,10.9,7.0
0.51,12.1,6.0
0.73,11.0,5.0
0.25,11.9,6.0
0.84,12.3,7.0
0.36,12.8,7.0
0.47,9.4,5.0
0.56,9.5,5.0
0.44,10.2,6.0
0.6,9.7,5.0
0.25,10.2,7.0
0.35,9.5,6.0
0.725,10.8,6.0
0.57,9.5,5.0
0.31,10.0,6.0
0.65,9.5,6.0
0.72,11.1,6.0
0.6,10.4,6.0
0.84,9.1,6.0
0.43,9.4,5.0
1.0,9.0,6.0
0.685,9.4,5.0
0.3,11.7,7.0
0.4,11.3,7.0
0.705,10.7,5.0
0.4,9.7,6.0
0.625,11.0,5.0
0.45,10.8,5.0
0.965,9.5,5.0
0.62,9.8,5.0
0.64,10.2,5.0
0.43,10.5,6.0
0.57,9.3,5.0
0.65,9.4,5.0
0.61,9.3,4.0
0.39,11.5,6.0
0.64,9.9,5.0
0.4,10.3,6.0
0.82,9.8,5.0
0.55,10.9,6.0
0.39,11.4,5.0
0.47,11.2,5.0
0.73,9.5,5.0
0.8,10.4,6.0
0.36,11.3,6.0
0.39,9.3,5.0
0.4,10.5,6.0
0.22,11.0,7.0
0.65,9.5,6.0
0.685,9.4,5.0
0.9,9.3,5.0
0.585,9.8,6.0
0.36,11.9,6.0
0.56,9.5,5.0
0.51,9.5,6.0
0.43,10.3,5.0
0.59,9.5,6.0
0.61,9.5,5.0
0.39,10.8,6.0
0.48,10.5,6.0
0.39,10.9,7.0
0.83,9.9,5.0
1.02,10.5,4.0
0.77,9.2,5.0
0.885,9.4,5.0
0.45,10.3,6.0
0.32,10.8,7.0
0.57,12.5,7.0
0.545,10.7,6.0
0.25,12.5,7.0
0.655,9.8,5.0
0.41,9.5,6.0
0.59,9.7,6.0
0.5,10.5,5.0
0.35,10.0,4.0
0.31,10.9,7.0
0.49,9.9,6.0
0.43,10.5,5.0
0.23,9.9,6.0
0.36,9.5,6.0
0.61,10.2,6.0
0.82,10.0,5.0
0.54,9.2,5.0
0.3,10.5,7.0
0.69,9.3,5.0
0.72,9.5,5.0
0.71,9.5,5.0
0.56,9.3,5.0
0.61,9.8,5.0
0.9,9.8,5.0
0.27,12.0,7.0
0.745,9.4,5.0
0.49,9.4,5.0
0.33,11.0,6.0
0.645,11.1,5.0
0.765,9.9,5.0
0.26,9.4,6.0
0.37,9.3,5.0
0.41,10.1,6.0
0.34,9.4,5.0
0.34,10.7,5.0
0.66,9.6,6.0
0.51,10.5,6.0
0.34,9.2,5.0
0.705,9.5,5.0
0.6,11.4,5.0
0.55,9.2,5.0
0.305,11.5,6.0
0.66,9.5,5.0
0.64,9.6,5.0
0.43,12.2,6.0
0.56,11.2,6.0
0.38,11.6,7.0
0.42,11.1,6.0
0.77,9.2,5.0
0.47,11.1,6.0
0.4,9.5,6.0
0.49,9.2,6.0
0.42,9.2,5.0
0.3,10.3,6.0
0.935,11.3,4.0
0.52,10.8,6.0
0.38,9.4,5.0
0.59,11.0,6.0
0.49,9.9,6.0
0.23,12.3,6.0
0.24,11.0,7.0
0.52,9.8,5.0
0.2,10.5,5.0
0.63,9.4,5.0
0.695,9.2,5.0
0.57,11.2,6.0
0.58,12.5,6.0
0.52,12.5,7.0
0.46,9.2,6.0
0.695,12.2,7.0
0.715,9.4,5.0
0.98,11.2,6.0
0.37,11.0,5.0
0.45,11.4,6.0
0.59,10.5,7.0
0.585,12.9,7.0
0.71,9.4,5.0
0.31,12.0,6.0
0.42,9.5,5.0
0.41,10.2,5.0
0.52,9.4,4.0
0.21,9.2,7.0
0.74,9.8,5.0
0.66,11.0,6.0
0.31,8.4,6.0
0.29,10.3,6.0
0.65,9.5,6.0
0.24,11.0,7.0
0.38,13.2,6.0
0.84,11.0,4.0
0.37,10.8,7.0
0.785,10.0,5.0
0.545,9.0,6.0
0.43,9.5,5.0
0.53,10.2,6.0
0.91,10.7,6.0
0.41,9.4,5.0
0.4,10.5,6.0
0.635,10.3,6.0
0.69,9.5,5.0
0.64,9.8,5.0
0.825,10.7,6.0
0.63,9.8,5.0
0.38,9.5,5.0
0.49,9.6,5.0
0.43,10.0,6.0
1.035,9.9,5.0
0.36,11.0,5.0
0.915,10.0,4.0
0.725,10.8,6.0
0.59,9.3,6.0
0.18,10.1,6.0
0.57,10.4,6.0
0.655,9.6,5.0
0.665,9.3,5.0
0.47,12.7,6.0
0.98,9.4,5.0
